comparison,n_units,median_delta,CI_low,CI_high,n_positive,n_negative,sign_p_one_sided
"within minus between-drug, different-state",11,0.290798,0.200777,0.495242,11,0,0.000488
"within minus between-drug, same-state",11,0.195780,0.056836,0.430315,9,2,0.032715
